seriesIndex,organoidLabel,Frame,X,Y,Slice,Length,FeretAngle
12,A,79,282.783281219,290.650191110,4,46.893941070,149.481766517
12,A,80,285.122093583,290.224949844,4,46.051530438,175.763621303
12,A,81,283.633754018,292.988993741,4,45.470652155,65.112584848
12,A,82,282.995896986,294.477333306,4,43.904667394,158.404681678
12,A,83,286.185182149,296.178278904,4,39.965587755,110.556048486
12,A,84,286.185182149,296.178278904,4,39.965587755,110.556048486
12,A,85,287.035664681,296.390904404,4,43.119219279,84.907885641
12,A,86,287.035664681,297.028751703,4,43.167419437,108.970407808
12,A,87,288.736610279,298.517091268,4,42.816211056,124.479225517
12,A,88,287.035664681,297.453992969,4,43.832531993,104.036261982
12,A,89,285.547334849,296.816135937,4,44.054741145,126.759289881
12,A,90,282.145424186,298.942332534,4,46.124115911,139.112217475
12,A,91,277.467809191,300.643278132,4,48.419282509,136.067515868
12,A,92,275.341612594,300.005421100,4,51.205438574,147.893750195
12,A,93,274.065908262,300.430662366,4,52.461344337,160.096252875
12,A,94,277.255183692,302.344233464,4,47.295186124,146.738558061
12,A,95,276.404710893,302.556849230,4,45.484568801,131.589055732
1,E,1,532.613826272,448.416191460,2,35.030120346,100.491477012
1,E,2,528.567201720,449.911372534,1,33.793330018,112.714429345
1,E,3,531.466969247,449.911392000,1,30.039055548,98.325653915
